name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,img_url
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,25,40,spicy,main course,Uttar Pradesh,North,https://www.vegrecipesofindia.com/wp-content/uploads/2012/03/navratan-korma-recipe1.jpg
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,Karnataka,South,https://www.vegrecipesofindia.com/wp-content/uploads/2017/04/puran-poli-bobbatlu-holige.jpg
Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,10,25,-1,main course,-1,South,https://www.vegrecipesofindia.com/wp-content/uploads/2017/03/ugadi-pachadi-recipe.jpg
Pakhala,"Curd, cooked rice, curry leaves, dry chilli",vegetarian,-1,-1,-1,main course,Odisha,East,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Pakhala_01.jpg/375px-Pakhala_01.jpg
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,20,40,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/palak-paneer-1-500x500.jpg
Palathalikalu,"Rice flour, milk",vegetarian,10,25,sweet,dessert,Andhra Pradesh,South,https://sowjiskitchen.com/wp-content/uploads/2020/09/Palathalikalu-pin.jpg.webp
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,20,40,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2020/01/paneer-butter-masala-1-500x500.jpg
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,20,40,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2011/10/grilled-paneer-tikka-500x500.jpg
Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice",vegetarian,10,20,-1,main course,Assam,North East,https://thumbs.dreamstime.com/b/assamese-cuisine-called-pani-pitha-kind-pan-cake-prepared-rice-flour-bihu-festival-assam-india-181480519.jpg
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",vegetarian,15,2,spicy,snack,-1,-1,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Aam_Panna_Pani_Puri_Recipe_.jpg
Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,10,20,-1,main course,Tamil Nadu,South,https://www.vegrecipesofindia.com/wp-content/uploads/2022/05/paniyaram-recipe-kuzhi-paniyaram-1147x1536.jpg
Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",vegetarian,10,25,sweet,dessert,Uttar Pradesh,,https://i0.wp.com/fatimacooks.net/wp-content/uploads/2021/02/1FB120F2-CF48-4E61-8013-3E026A3ACEEC-scaled.jpeg?resize=768%2C1024&ssl=1
Pantua,"Chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,West Bengal,East,https://www.crazymasalafood.com/wp-content/images/pantua.jpg
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,5,5,spicy,snack,-1,-1,https://www.archanaskitchen.com/images/archanaskitchen/BasicRecipes_HOW_TO/How_to_roast_papad.jpg
Papadum,"Lentils, black pepper, vegetable oil",vegetarian,5,5,spicy,snack,Kerala,South,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Roasted_Papad_-_Howrah_2013-11-02_4068.jpg/330px-Roasted_Papad_-_Howrah_2013-11-02_4068.jpg
Paratha,"Wheat flour, butter, potato, coriander",vegetarian,15,45,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/gobi-paratha-recipe-1-500x500.jpg
Paravannam,"Raw rice,  jaggery, milk",vegetarian,-1,-1,spicy,main course,Kerala,South,https://www.cookshideout.com/wp-content/uploads/2022/10/Paramannam_3S-1020x1536.jpg
Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,10,20,-1,main course,Tamil Nadu,South,https://rakskitchen.net/wp-content/uploads/2023/02/arisi-paruppu-sadam-768x960.jpg
Patra,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,40,spicy,snack,Gujarat,West,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Gujarati_Patra_Recipe_Aloo_Vadi_14_1600.jpg
Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,30,spicy,main course,Rajasthan,West,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha-Kalluraya/PATHRAVADE.jpg
Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",vegetarian,20,40,spicy,main course,Maharashtra,West,https://hebbarskitchen.com/wp-content/uploads/mainPhotos/pav-bhaji-recipe-easy-mumbai-style-pav-bhaji-recipe-1-1068x1423.jpeg
Payasam,"Rice, cashew nuts, milk, raisins, sugar",vegetarian,15,30,sweet,dessert,-1,South,https://www.crazymasalafood.com/wp-content/images/gothampu-payasam.jpg
Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods",vegetarian,-1,-1,sweet,dessert,Assam,North East,https://img-global.cpcdn.com/recipes/6de78365c3f9411b/1360x964cq70/assamese-payokhrice-kheer-recipe-main-photo.webp
Pesarattu,"Green moong beans, rice flour",vegetarian,120,20,spicy,snack,Andhra Pradesh,South,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/panditp253-gmail.com/ANDHRA_Style_PESARATTU_PIZZA_recipe_edited.jpg
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,sweet,dessert,Uttar Pradesh,North,https://crazymasalafood.com/wp-content/images/petha-1.jpg.webp
Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,https://img-global.cpcdn.com/recipes/08ddff1abd0cd0cb/1360x964cq70/millet-phirni-with-mango-recipe-main-photo.webp
Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",vegetarian,-1,-1,sweet,dessert,Goa,West,https://ellaroyrecipes.com/wp-content/uploads/2020/07/PINAGR-FACEBOOK-940x682.jpg
Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon",vegetarian,500,120,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2021/07/pindi-chole-1-1024x1536.jpg
Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East,https://www.crazymasalafood.com/wp-content/images/pithe.jpg
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,20,30,spicy,snack,Maharashtra,West,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Waagmi_Soni/Indori_Poha.jpg
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,5,20,sweet,dessert,Tamil Nadu,South,https://www.crazymasalafood.com/wp-content/images/Sweet-Pongal-1.jpg
Poornalu,"Chana dal, jaggery",vegetarian,240,60,sweet,dessert,Andhra Pradesh,South,https://www.crazymasalafood.com/wp-content/images/poornalu.jpg
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,10,60,sweet,dessert,Andhra Pradesh,South,https://crazymasalafood.com/wp-content/images/palathalikalu-1.jpg.webp
Poriyal,"Chana dal, urad dal, beans, coconut, mustard",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,https://rakskitchen.net/wp-content/uploads/2008/11/DSC_0542[1].jpg
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",non vegetarian,-1,-1,spicy,main course,Tripura,North East,https://1.bp.blogspot.com/-bDu9MvHWtnM/Useg2flcoSI/AAAAAAAAPkg/tc0sS888IQo/s640/IMG_7736.JPG
Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",non vegetarian,15,50,spicy,main course,West Bengal,East,https://www.licious.in/blog/wp-content/uploads/2021/06/Shutterstock_1585483462-1024x684.jpg
Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves",vegetarian,10,20,-1,main course,Tamil Nadu,South,https://rakskitchen.net/wp-content/uploads/2009/07/puli-sadam-with-garlic-recipe-768x960.jpg
Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves",vegetarian,10,30,spicy,main course,Maharashtra,West,https://www.vegrecipesofindia.com/wp-content/uploads/2013/03/poori-bhaji.jpg
Puttu,"Brown rice flour, sugar, grated coconut",vegetarian,495,40,-1,main course,Kerala,South,https://rakskitchen.net/wp-content/uploads/2022/03/soft-ragi-puttu-768x960.jpg
Qubani ka meetha,"Apricots, sugar syrup",vegetarian,10,20,sweet,dessert,Telangana,South,https://www.crazymasalafood.com/wp-content/images/qubani-ka-meetha.png
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,https://www.crazymasalafood.com/wp-content/images/rabdi.jpg
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,15,90,spicy,main course,-1,North,https://www.vegrecipesofindia.com/wp-content/uploads/2021/05/rajma-recipe-1-500x500.jpg
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,West Bengal,East,https://www.crazymasalafood.com/wp-content/images/rasmalai.jpg
Rasabali,"Chenna, sweetened milk",vegetarian,15,30,sweet,dessert,Odisha,East,https://crazymasalafood.com/wp-content/images/rasabali.jpg.webp
Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,10,35,spicy,main course,-1,South,https://rakskitchen.net/wp-content/uploads/2012/09/mysore-rasam-768x960.jpg
Rasgulla,"Chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,West Bengal,East,https://www.crazymasalafood.com/wp-content/images/rasgulla.jpg
Red Rice,"Red pepper, red onion, butter, watercress, olive oil",vegetarian,-1,-1,-1,main course,-1,-1,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Rice%2C_red-rice%2C_AIVANAM-like.JPG/330px-Rice%2C_red-rice%2C_AIVANAM-like.JPG
Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",vegetarian,10,30,-1,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2010/05/punjabi-lobia-masala-recipe.jpg
Saath,"Urad dal, potatoes, wheat flour, sooji",vegetarian,20,40,spicy,main course,Gujarat,West,https://www.plattershare.com/storage/2021/09/5b59ddb325a34-1.jpg
Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",vegetarian,70,30,spicy,snack,Maharashtra,West,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Mahrashtrian_Style_Kholapuri_Khichadi_Recipe_.jpg
Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,20,45,spicy,main course,-1,South,https://rakskitchen.net/wp-content/uploads/2017/03/32908705414_e05ed774de_z.jpg
Samosa,"Potatoes, green peas, garam masala, ginger, dough",vegetarian,30,30,spicy,snack,-1,-1,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Tea_Time_Snacks/Samosas_Recipe_A_Spiced_Potato_Tea_Time_Snack-1.jpg
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30,20,sweet,dessert,West Bengal,East,https://www.crazymasalafood.com/wp-content/images/sandesh-1.jpg
Sandige,"Thin rice flakes, black sesame seeds, curry leaves",vegetarian,120,60,-1,main course,Karnataka,South,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha-Kalluraya/Aralu_sandige__Puffed_paddy_Fryums_1600.jpg
Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",vegetarian,10,20,spicy,main course,Bihar,North,https://www.24mantra.com/wp-content/uploads/2020/07/besan_roti.jpg
Sev khamani,"Khaman, pomegranate, sev, powdered sugar, garlic",vegetarian,20,30,spicy,main course,Gujarat,West,"https://cdn.tarladalal.com/members/9306/big/big_amiri_khaman,_gujarati_sev_khamani_recipe-14015.jpg?size=696X905"
Sev tameta,"Sev, ginger, tomato, sugar",vegetarian,20,30,spicy,main course,Gujarat,West,https://www.vegrecipesofindia.com/wp-content/uploads/2014/12/sev-tameta-nu-shaak-recipe.jpg
Sevai,"Sevai, parboiled rice, steamer",vegetarian,120,30,-1,main course,-1,South,https://rakskitchen.net/wp-content/uploads/2013/11/10942710884_74fc10ab6c_z.jpg
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",vegetarian,20,40,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2013/06/shahi-paneer-1-1-1152x1536.jpg
Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",vegetarian,10,30,sweet,dessert,Telangana,South,https://www.crazymasalafood.com/wp-content/images/shahi-tukda.jpg
Shankarpali,"Sugar, ghee, maida flour, semolina",vegetarian,10,35,sweet,dessert,Maharashtra,West,https://www.crazymasalafood.com/wp-content/images/shankerpali.jpg
Sheer korma,"Vermicelli pudding, milk",vegetarian,10,20,sweet,dessert,Telangana,South,https://www.crazymasalafood.com/wp-content/images/20-most-loved-mughlai-dishes-in-india/sheer-khurma.jpg
Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West,https://www.crazymasalafood.com/wp-content/images/sheera.jpg
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,10,720,sweet,dessert,Maharashtra,West,https://www.crazymasalafood.com/wp-content/images/shrikhand-1.jpg
Shufta,"Cottage cheese, dry dates, dried rose petals, pistachio, badam",vegetarian,-1,-1,sweet,dessert,Jammu & Kashmir,North,https://crazymasalafood.com/wp-content/images/top-21-must-have-dishes-of-jammu-and-kashmir/shufta.jpg.webp
Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal",vegetarian,10,20,spicy,main course,West Bengal,East,https://kitchenofdebjani.com/wp-content/uploads/2022/08/Bengali-Shukto-Recipe-Debjanir-Rannaghar-1024x1024.jpg
Singori,"Khoa, coconut, molu leaf",vegetarian,10,20,sweet,dessert,Uttarakhand,North,https://www.crazymasalafood.com/wp-content/images/singori.jpg
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,Uttar Pradesh,North,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Sohan_Halwa.JPG/300px-Sohan_Halwa.JPG
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,-1,60,sweet,dessert,Maharashtra,West,https://www.crazymasalafood.com/wp-content/images/sohanpapdi.jpg
Sukhdi,"Whole wheat flour, gur, clarified butter",vegetarian,10,20,sweet,dessert,Maharashtra,West,https://www.crazymasalafood.com/wp-content/images/sukhdi-1.jpg
Surnoli,"Rice flakes, yogurt, raw rice, jaggery, grated coconut",vegetarian,60,10,spicy,snack,Maharashtra,West,https://i0.wp.com/konkanikhanna.com/wp-content/uploads/2020/01/maxresdefault-1.jpg?fit=768%2C432&ssl=1
Sutar feni,"Maida, sugar, ghee",vegetarian,15,55,sweet,dessert,Maharashtra,West,https://www.crazymasalafood.com/wp-content/images/sutar-feni.jpg
Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",non vegetarian,240,30,spicy,main course,Punjab,North,https://i.ndtvimg.com/i/2015-01/625-tandoori-chicken_625x350_81420696757.jpg
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,240,30,spicy,starter,Punjab,North,https://www.simplyrecipes.com/thmb/EBTnwYg3IFy1RcnrMDZsAhGZZ9M=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Simply-Recipes-Tandoori-Chicken-LEAD-01-7767f2892b824b24b65213f3ba28ff8c.jpg
Thalipeeth,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",vegetarian,25,30,spicy,main course,Maharashtra,West,https://www.vegrecipesofindia.com/wp-content/uploads/2017/11/thalipeeth-recipe.jpg
Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",vegetarian,10,20,-1,main course,Tamil Nadu,South,https://rakskitchen.net/wp-content/uploads/2012/06/7347478426_6a15046cb8_z.jpg
Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind",vegetarian,15,20,-1,main course,Kerala,South,https://www.vegrecipesofindia.com/wp-content/uploads/2017/10/ulli-theeyal-recipe-1.jpg
Thepla,"Chickpea flour, methi leaves, jowar flour, wheat flour",vegetarian,15,30,spicy,snack,Gujarat,West,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/April-18/Jowar_Atta_Pyaz_Thepla_Jowar_Onion_Paratha-3.jpg
Til Pitha,"Glutinous rice, black sesame seeds, gur",vegetarian,5,30,sweet,dessert,Assam,North East,https://www.crazymasalafood.com/wp-content/images/til-pitha.jpg
Turiya Patra Vatana sabji,"Ridge gourd, baking soda, sugar, grated coconut, peas",vegetarian,35,40,spicy,main course,Gujarat,West,https://www.cookingcarnival.com/wp-content/uploads/2015/02/Turiya-patra-nu-shaak-1024x1536.webp
Undhiyu,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas",vegetarian,25,60,spicy,main course,Gujarat,West,https://www.vegrecipesofindia.com/wp-content/uploads/2015/04/undhiyu-recipe.jpg
Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,10,20,sweet,dessert,Tamil Nadu,South,https://www.crazymasalafood.com/wp-content/images/unni-appam.jpg
Upma,"Chana dal, urad dal, ginger, curry leaves, sugar",vegetarian,10,20,spicy,snack,-1,-1,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/akila_subramanian/PuliMa__Tamarind_and_RiceRava_Upma.jpg
Uttapam,"Chana dal, urad dal, thick poha, tomato, butter",vegetarian,10,20,spicy,snack,-1,South,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Nithya_Anantham/Tomato_Uthappam_Recipe.jpg
Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper",vegetarian,15,20,spicy,snack,-1,South,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Bobbarlu_Vada_Alsande_Vada_Recipe_Spicy_Lobia_Vada_Recipe.jpg
Veg Kolhapuri,"Gobi, potato, beans, khus khus, coconut",vegetarian,20,30,spicy,main course,Maharashtra,West,https://www.vegrecipesofindia.com/wp-content/uploads/2014/11/vegetable-kolhapuri.jpg
Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",vegetarian,10,30,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2014/05/paneer-veg-jalfrezi-recipe.jpg
Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon",non vegetarian,10,40,spicy,main course,Goa,West,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Vindalho.jpg/375px-Vindalho.jpg
Zunka,"Gram flour, mustard, garlic, turmeric, red chilli",vegetarian,10,25,spicy,main course,Maharashtra,West,https://www.whiskaffair.com/wp-content/uploads/2020/03/Zunka-2-1-1024x1536.jpg
